series_id,game_num,blue_team,red_team,team,opp_team,side,player,champion,draft_champion,role,pick_order,pick_turn_global,pick_phase,win,result
2882795,1,CG,HMB,CG,HMB,Blue,TheMountain,Chogath,Jayce,TOP,1,7.0,1.0,True,Win
2882795,1,CG,HMB,HMB,CG,Red,APP,KSante,K'Sante,TOP,2,8.0,1.0,False,Loss
2882795,1,CG,HMB,HMB,CG,Red,adi1,XinZhao,Yunara,JGL,3,9.0,1.0,False,Loss
2882795,1,CG,HMB,CG,HMB,Blue,Fragola,Jayce,Cho'Gath,JGL,4,10.0,1.0,True,Win
2882795,1,CG,HMB,CG,HMB,Blue,Bisgaard,Akali,Corki,MID,5,11.0,1.0,True,Win
2882795,1,CG,HMB,HMB,CG,Red,Vigil,Orianna,Xin Zhao,MID,6,12.0,1.0,False,Loss
2882795,1,CG,HMB,HMB,CG,Red,Tyrone,Yunara,Orianna,BOT,7,17.0,2.0,False,Loss
2882795,1,CG,HMB,CG,HMB,Blue,Piskhello,Corki,Akali,BOT,8,18.0,2.0,True,Win
2882795,1,CG,HMB,CG,HMB,Blue,CENTU,Leona,Leona,SUP,9,19.0,2.0,True,Win
2882795,1,CG,HMB,HMB,CG,Red,Click,Poppy,Poppy,SUP,10,20.0,2.0,False,Loss
2882797,1,GMB,CG,GMB,CG,Blue,Dadan,Sion,Sion,TOP,1,7.0,1.0,False,Loss
2882797,1,GMB,CG,CG,GMB,Red,TheMountain,KSante,K'Sante,TOP,2,8.0,1.0,True,Win
2882797,1,GMB,CG,CG,GMB,Red,Fragola,DrMundo,Syndra,JGL,3,9.0,1.0,True,Win
2882797,1,GMB,CG,GMB,CG,Blue,Mario,MonkeyKing,Viktor,JGL,4,10.0,1.0,False,Loss
2882797,1,GMB,CG,GMB,CG,Blue,Dejavu,Viktor,Leona,MID,5,11.0,1.0,False,Loss
2882797,1,GMB,CG,CG,GMB,Red,Bisgaard,Syndra,Yunara,MID,6,12.0,1.0,True,Win
2882797,1,GMB,CG,CG,GMB,Red,Piskhello,Yunara,Bard,BOT,7,17.0,2.0,True,Win
2882797,1,GMB,CG,GMB,CG,Blue,Rharesh,Caitlyn,Caitlyn,BOT,8,18.0,2.0,False,Loss
2882797,1,GMB,CG,GMB,CG,Blue,Shredder,Leona,Wukong,SUP,9,19.0,2.0,False,Loss
2882797,1,GMB,CG,CG,GMB,Red,CENTU,Bard,Dr. Mundo,SUP,10,20.0,2.0,True,Win
2882805,1,CG,DEA,CG,DEA,Blue,TheMountain,Chogath,Corki,TOP,1,7.0,1.0,True,Win
2882805,1,CG,DEA,DEA,CG,Red,Fratellin,Urgot,Sivir,TOP,2,8.0,1.0,False,Loss
2882805,1,CG,DEA,DEA,CG,Red,Hamudis,XinZhao,Xin Zhao,JGL,3,9.0,1.0,False,Loss
2882805,1,CG,DEA,CG,DEA,Blue,Fragola,JarvanIV,Cho'Gath,JGL,4,10.0,1.0,True,Win
2882805,1,CG,DEA,CG,DEA,Blue,Bisgaard,Syndra,Jarvan IV,MID,5,11.0,1.0,True,Win
2882805,1,CG,DEA,DEA,CG,Red,Sharon,Fizz,Urgot,MID,6,12.0,1.0,False,Loss
